legacy_id,sources,in_main_source,in_clean_bundle,coverage_status
de4e1be5,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
dea8c68c,Berta 2.0 - Berta 2.0 (3).csv|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
deb2bf1d,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
deb41a00,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
e1affab8,Berta 2.0 - Berta 2.0 (3).csv|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
e270df62,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
e2a3dddd,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
e34b6c09,CRM|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
e394dc72,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
e46068f9,Prestataires,false,false,missing_from_main_source
e46e5463,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
e49d2a13,Berta 2.0 - Berta 2.0 (3).csv|CRM|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
e4e5aa4a,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
e50537ff,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
e6d7c9a1,Berta 2.0 - Berta 2.0 (3).csv|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
e6eea1ed-6840-4d83-b947-c5d163204cfa,CRM|Prestataires,false,false,missing_from_main_source
e75de991,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
e7637060,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
e79ea8ed,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
e97267c4,Prestataires,false,false,missing_from_main_source
ea42ebb4,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
eb2505c0,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
