Id_Tarifs,Object_id,Description,Tarif Montant,Tarif libellé,,Mini
6aac7485,recTR4EZHOjvNt0tr,,65,chambre double avec petit déjeuner/nuit,,À partir de
1fd5f662,recTR4EZHOjvNt0tr,à partir de 3 nuits,60,chambre double avec petit déjeuner/nuit,,À partir de
86910f74,93921678,/nuit pour 2 personnes,80,bungalow,,À partir de
1d7e3d6e,93921678,/nuit pour 4 personnes,120,bungalow,,À partir de
c3ddf331,93921678,/nuit pour 2 personnes,75,studio,,À partir de
2e33c565,recu2lcOsEa6JR1X9,,700,week-end,,À partir de
2263952b,rec6JNIwdrCJBAFrN,à partir de 2 nuits,125,chambre double/nuit,,À partir de
d1e8541b,rec6JNIwdrCJBAFrN,à partir de 2 nuits,225,bungalow/nuit,,À partir de
5d3e3061,dcdc2945,à partir de 3 nuits pour 4 personnes,89,bungalow/nuit,,À partir de
"d289c08a,fe7f6bb2,la minute,""0,8"",,,À partir de"
6d7df759,ea42ebb4,,950,semaine,,À partir de
60a8ff3b,recbqR9yn4YRURgzC,,9,article,,
d24b099d,65396ef9,4 personnes,100,bungalow,,
680444ea,65396ef9,par nuit,60,chambre double,,
49389cd2,recieRtH5ulY1vw33,,15,produit,,
3010593a,recPVX5imIkKti6DB,,6,produit,,
053e6a16,recnjutP2i5dK4m2t,,6,produit,,
4ccc1a55,recEMpzm8TU3vMA56,Repas,19,repas,,
c6339bce,recgWmAh3cvUhcnp7,,30,repas/pers.,,
114d6895,recSC9OXFUnSkDFs7,,25,produit,,
e41d6945,recW7uGt8JkBfexcV,,12,repas/pers.,,À partir de
60295452,recP65RYkZMUdYTBH,par nuit,80,chambre double avec petit déjeuner,,À partir de
e8a2a012,5EF05AAF2A,,15,produit,,
a84ebe27,recEtCXzryjmXCyG3,,17,produit,,
91923a4f,reczmo44uNT3nvZZt,menu à volonté (entrée plat),18,pers.,,À partir de
2a07ebc0,deb2bf1d,,3,article,,À partir de
9beafbb5,rec2YX38fXWVZF9CF,,12,repas/pers.,,À partir de
f73327c0,recyyAOrP4ABYe0Qk,par nuit,115,chambre familiale avec petit-déjeuner,,À partir de
6523fe61,4c57cea2,,170,chambre double/nuit,,
9b4f5abc,6e82095d,à partir de 2 nuits,85,bungalow/semaine/nuit,,À partir de
45baeff6,6e82095d,à partir de 2 nuits,125,bungalow/week-end/nuit,,À partir de
5d19330e,recN0yEGh5spNBVpa,à emporter,7,repas,,À partir de
7a95766c,recN0yEGh5spNBVpa,Repas,16,repas,,À partir de
57bbb8b0,3fb285d5,4 personnes,150,bungalow,,
9cd6c448,recyoVAha32J3VwKH,à partir de 2 nuits,85,chambre double avec petit déjeuner,,À partir de
6f5a8bd3,recyoVAha32J3VwKH,à partir de 2 nuits pour 3 personnes,105,chambre familiale avec petit-déjeuner,,À partir de
4db1f1bf,rechj4Z465inGAsGN,,50,chambre double,,À partir de
9445eef9,da52a8c9,,16,repas,,À partir de
9478fac0,91debdd2,Repas,14,,,À partir de
65e8e47c,recI8DJFuT3y2FjIh,,110,nuit,,
e72932bb,276ec6e0,à partir de 2 nuits,175,nuit,,À partir de
7105c5a7,rec5qmfxcwAOTt2xK,,250,week-end,,À partir de
d0fe75bd,rec5qmfxcwAOTt2xK,,420,semaine,,À partir de
91d624e4,c97e2026,,30,pers./semaine/nuit,,À partir de
65a3991f,c97e2026,,35,pers./week-end/nuit,,À partir de
348ee701,c97e2026,,10,nuit/enfant,,À partir de
c98c648a,recdIs0HOgiZ1A0SS,basse saison,700,bungalow/semaine,,À partir de
6f26f540,recdIs0HOgiZ1A0SS,basse saison,320,bungalow/week-end,,À partir de
5b05037c,recdIs0HOgiZ1A0SS,haute saison,840,bungalow/semaine,,À partir de
0acdee0e,recdIs0HOgiZ1A0SS,haute saison,360,bungalow/week-end,,À partir de
47ded933,113a206c,petit-déjeuner,8,,,
c3e9216f,recwIlCEX9xuH8gkn,à partir de 3 nuits,60,bungalow/nuit,,À partir de
1579e71e,recwIlCEX9xuH8gkn,à partir de 3 nuits,125,bungalow/week-end,,À partir de
3d56ddbb,99c29361,Maximum 6 personnes,100,bungalow/nuit,,À partir de
7d2705e6,recC8nvXfXAN5qwki,,7,repas,,À partir de
4cc2374b,2740c3db,Repas du soir,25,pers.,,
beb61d11,cbf4f863,demi-journée,30,produit,,À partir de
de180e10,78372796,/nuit pour 2 personnes,75,nuit,,À partir de
5fe788f7,recvlazHYiTRiE0nE,,2300,week-end,,À partir de
24cc1e1f,recvlazHYiTRiE0nE,,115,pers./week-end,,À partir de
279be1d4,recvlazHYiTRiE0nE,à partir de 2 nuits,1900,semaine/nuit,,À partir de
de84859f,rec1oPuqEslIrnIfE,,220,nuit,,À partir de
9393dac6,efc1fd94,à partir de 2 nuits,150,bungalow/nuit,,À partir de
fc0fd001,060600ca,,100,,,À partir de
d0bee10c,4bdad81d,,65,nuit,,À partir de
25ea2ec1,3b723673,,65,bungalow/nuit,,À partir de
251aaca5,e7637060,à partir de 2 nuits,70,nuit,,À partir de
3e2e7f7d,recyxKNuVVPqRhSTR,,75,chambre double avec petit déjeuner,,À partir de
dbf92b64,recyxKNuVVPqRhSTR,/nuit pour 4 personnes,130,chambre familiale avec petit-déjeuner,,À partir de
b5f00219,f71e41e7,,5,produit,,
6840a239,recUJhNJJKosGUk1J,Repas,30,pers.,,À partir de
2e5ce9d1,recfEmpLnY5H9dk0r,à partir de 3 nuits,200,studio/semaine,,À partir de
fb5b41fe,recW5SKUQWWgrDLvC,A partir de 3 nuits minimum,200,studio/semaine,,À partir de
