schema,table_name,index_name,is_unique,is_primary,is_partial,method,index_def
public,object_classification,idx_object_classification_document_id,f,f,f,btree,CREATE INDEX idx_object_classification_document_id ON public.object_classification USING btree (document_id)
public,object_classification,idx_object_classification_object_id,f,f,f,btree,CREATE INDEX idx_object_classification_object_id ON public.object_classification USING btree (object_id)
public,object_classification,idx_object_classification_scheme_id,f,f,f,btree,CREATE INDEX idx_object_classification_scheme_id ON public.object_classification USING btree (scheme_id)
public,object_classification,idx_object_classification_subvalue_ids_gin,f,f,f,gin,CREATE INDEX idx_object_classification_subvalue_ids_gin ON public.object_classification USING gin (subvalue_ids)
public,object_classification,idx_object_classification_value_id,f,f,f,btree,CREATE INDEX idx_object_classification_value_id ON public.object_classification USING btree (value_id)
public,object_classification,object_classification_pkey,t,t,f,btree,CREATE UNIQUE INDEX object_classification_pkey ON public.object_classification USING btree (id)
public,object_description,idx_object_description_chapo_normalized_trgm,f,f,f,gin,CREATE INDEX idx_object_description_chapo_normalized_trgm ON public.object_description USING gin (description_chapo_normalized gin_trgm_ops)
public,object_description,idx_object_description_i18n_gin,f,f,f,gin,CREATE INDEX idx_object_description_i18n_gin ON public.object_description USING gin (description_i18n jsonb_path_ops)
public,object_description,idx_object_description_normalized_trgm,f,f,f,gin,CREATE INDEX idx_object_description_normalized_trgm ON public.object_description USING gin (description_normalized gin_trgm_ops)
public,object_description,idx_object_description_object_id,f,f,f,btree,CREATE INDEX idx_object_description_object_id ON public.object_description USING btree (object_id)
public,object_description,object_description_pkey,t,t,f,btree,CREATE UNIQUE INDEX object_description_pkey ON public.object_description USING btree (id)
public,object_description,uq_object_description_canonical_one,t,f,t,btree,CREATE UNIQUE INDEX uq_object_description_canonical_one ON public.object_description USING btree (object_id) WHERE (org_object_id IS NULL)
public,object_description,uq_object_description_per_org,t,f,t,btree,"CREATE UNIQUE INDEX uq_object_description_per_org ON public.object_description USING btree (object_id, org_object_id) WHERE (org_object_id IS NOT NULL)"
public,object_discount,idx_object_discount_groups,f,f,f,btree,"CREATE INDEX idx_object_discount_groups ON public.object_discount USING btree (min_group_size, max_group_size)"
public,object_discount,idx_object_discount_object,f,f,f,btree,CREATE INDEX idx_object_discount_object ON public.object_discount USING btree (object_id)
public,object_discount,idx_object_discount_validity,f,f,f,btree,"CREATE INDEX idx_object_discount_validity ON public.object_discount USING btree (valid_from, valid_to)"
